problem_id,original_question,true_answer,generated_answer,full_response
01e87e12-d402-4fff-a5ea-1da6160c4e99,What color can be seen in the abnormal lesion?,Black.,Red.,Red.
02decd79-711e-4eef-9bc9-04347e4692fe,What is the diagnosis?,"Hydropneumothorax, left","The diagnosis is: Hydropneumothorax, right.","The diagnosis is: Hydropneumothorax, right."
043f257f-34a0-4842-9334-241320202d79,Is there any type of joint deformity present here?,"Yes, Charcot´s foot, left.",No,No
050515b0-aff0-4ce6-8edf-b8ae01b786c5,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ","No, normal renal histology.","No, normal renal histology."
06485d09-1677-493a-a974-344c507da11c,What is shown in this xray?,"Clavicle fracture, left","The x-ray shows a clavicle fracture, right.","The x-ray shows a clavicle fracture, right."
08bd93cb-0201-4f20-8e37-97e495cf3542,Are there changes of acute myocardial infarction in this ECG with paced rhythm?,Yes,No,No
09728185-88c5-4da1-8b87-cd7572a530d2,Is there any evidence of honeycombing?,yes,No,No
09b20627-5d25-4ceb-bbf3-b77a92fb4a18,Is there a joint effusion?,No,No,No
0a405f20-1fcd-4fac-a0c1-3323efac8726,Is honeycombing present?,Yes,No,No
16870356-d6c6-468a-8356-a8e2fc81dec5,Is there any pathology visible in this chest X-Ray?,"Water bottle sign in the heart, suggestive of pericardial effusion.","No, there is no pathology visible in this chest X-ray.","No, there is no pathology visible in this chest X-ray."
18218d7e-e2b3-45ee-a6bb-45054271c091,What is the large round object?,Amoeba.,The large round object in the image is a giant cell in a tissue sample.,The large round object in the image is a giant cell in a tissue sample.
188fb1a0-4521-4fb1-9c82-46527f1603a9,What is the diagnosis?,Levocardia,"The diagnosis is ""Dextrocardia.""","The diagnosis is ""Dextrocardia."""
1b7f4c9f-5655-4037-92e6-0e310f41184e,What pathology can be seen?,Vitreous hemorrhage.,"Question: What pathology can be seen?

Answer: Retinal hemorrhages.","Question: What pathology can be seen?

Answer: Retinal hemorrhages."
1c39462b-cfdd-455c-b8f1-e099f85bcc29,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,No,No
1d690af1-020d-4163-8abe-e7fc2bbdba17,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,Acne rosacea.,Acne rosacea.
1e5627a5-d6ba-4714-9db5-1561d3f59d7e,Is there something pathological in this image?,"Anisocoria, right pupil more dilated than left one.","No, normal pupils.","No, normal pupils."
1ee54fea-31da-4d9a-bd57-a6a006f97d3e,What is the diagnosis?,"Proptosis, left","The diagnosis is Proptosis, right and left.","The diagnosis is Proptosis, right and left."
21e3a17e-4ad3-42c6-8367-3c96a8bc2aae,What type of pathology is shown?,"Subdural hematoma, right","Subdural hematoma, left","Subdural hematoma, left"
21eb81de-7686-4efc-9875-7dc4cbfc557d,Are the red blood cells normal?,"No, there are schiostocytes. ","No, there are schistocytes.","No, there are schistocytes."
21ec6a11-a59f-41b2-bbca-51cc937d8828,Where is the tumor located?,Caecum.,The tumor is located in the pineal region.,The tumor is located in the pineal region.
2285cb57-7853-41c4-bc0b-12cf269a23a3,Is atoll sign present?,Yes,No,No
26e21c7a-df27-4d6c-a3d3-44a3b73964e5,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,"Based on the chest X-ray image provided, the pathology suspected is:

Dilated cardiomyopathy with pulmonary edema.","Based on the chest X-ray image provided, the pathology suspected is:

Dilated cardiomyopathy with pulmonary edema."
29e3f38f-c199-479c-ba00-a0fa0bbaffb8,Is there a visible pathology?,No,"Yes, hyperdense left MCA","Yes, hyperdense left MCA"
2d3f8498-af1d-440e-92a2-4837dc277974,What kind of image is this?,MRI of the brain with contrast,MRI of the brain without contrast,MRI of the brain without contrast
2d679738-2da1-45da-b83b-aa39a86f6bcb,Is the NG tube well-positioned?,"No, in left lung","No, in airway","No, in airway"
2f86b41e-c08b-41de-9c08-677df1528af5,What is the diagnosis?,"Acute MCA infarct, right and left","The diagnosis is Acute MCA infarct, right.","The diagnosis is Acute MCA infarct, right."
321365c0-587b-4f7e-8e85-34c152b401e0,What is the diagnosis?,"Exophthalmos, bilateral","The diagnosis is Exophthalmos, bilateral.","The diagnosis is Exophthalmos, bilateral."
3436b5aa-7219-42c1-96cc-54f1e4286003,What is this person's skin type?,Type VI,Type VI,Type VI
34d5c4f5-9a58-43d0-b716-cd81487a881a,Describe the present abnormality.,"Central retinal artery occlusion. Retinal whitening and cherry-red spot are visible, as well as the likely causative clot.","Branch retinal artery occlusion. Retinal whitening is visible, as well as the likely causative clot.","Branch retinal artery occlusion. Retinal whitening is visible, as well as the likely causative clot."
34f7d1cc-7328-457b-b9d3-5e983c6496d1,Which skin condition is shown?,petechiae,The skin condition shown in the image is petechiae.,The skin condition shown in the image is petechiae.
3808de45-a0d1-4f89-b0b9-76a6a977c90a,What is the diagnosis?,"Erb's palsy, right and left",The diagnosis is not specified in the provided examples.,The diagnosis is not specified in the provided examples.
