problem_id,final_question,true_answer,correct_option,selected_option,is_correct,generated_answer
02decd79-711e-4eef-9bc9-04347e4692fe_perm_1,What is the diagnosis?,"Hydropneumothorax, left",D,C,False,"Hydropneumothorax, right"
02decd79-711e-4eef-9bc9-04347e4692fe_perm_2,What is the diagnosis?,"Hydropneumothorax, left",D,B,False,"Hydropneumothorax, right"
02decd79-711e-4eef-9bc9-04347e4692fe_perm_3,What is the diagnosis?,"Hydropneumothorax, left",D,C,False,"Hydropneumothorax, right"
02decd79-711e-4eef-9bc9-04347e4692fe_perm_4,What is the diagnosis?,"Hydropneumothorax, left",D,B,False,"Hydropneumothorax, right"
02decd79-711e-4eef-9bc9-04347e4692fe_perm_5,What is the diagnosis?,"Hydropneumothorax, left",D,B,False,"Pleural effusion, right"
02decd79-711e-4eef-9bc9-04347e4692fe_perm_6,What is the diagnosis?,"Hydropneumothorax, left",D,A,False,"Hydropneumothorax, right"
050515b0-aff0-4ce6-8edf-b8ae01b786c5_perm_1,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ",A,A,True,"Yes, renal cell carcinoma. "
050515b0-aff0-4ce6-8edf-b8ae01b786c5_perm_2,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ",A,A,True,"Yes, renal cell carcinoma. "
050515b0-aff0-4ce6-8edf-b8ae01b786c5_perm_3,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ",A,A,True,"Yes, renal cell carcinoma. "
050515b0-aff0-4ce6-8edf-b8ae01b786c5_perm_4,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ",A,A,True,"Yes, renal cell carcinoma. "
050515b0-aff0-4ce6-8edf-b8ae01b786c5_perm_5,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ",B,B,True,"Yes, renal cell carcinoma. "
050515b0-aff0-4ce6-8edf-b8ae01b786c5_perm_6,Is there a tumor in this kidney?,"Yes, renal cell carcinoma. ",B,B,True,"Yes, renal cell carcinoma. "
08bd93cb-0201-4f20-8e37-97e495cf3542_perm_1,Are there changes of acute myocardial infarction in this ECG with paced rhythm?,Yes,C,.,False,INVALID_OPTION:.
08bd93cb-0201-4f20-8e37-97e495cf3542_perm_2,Are there changes of acute myocardial infarction in this ECG with paced rhythm?,Yes,C,B,False,No - Panel A
09728185-88c5-4da1-8b87-cd7572a530d2_perm_1,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_2,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_3,Is there any evidence of honeycombing?,yes,C,C,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_4,Is there any evidence of honeycombing?,yes,D,D,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_5,Is there any evidence of honeycombing?,yes,G,G,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_6,Is there any evidence of honeycombing?,yes,C,C,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_7,Is there any evidence of honeycombing?,yes,E,E,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_8,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_9,Is there any evidence of honeycombing?,yes,C,C,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_10,Is there any evidence of honeycombing?,yes,B,B,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_11,Is there any evidence of honeycombing?,yes,G,G,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_12,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_13,Is there any evidence of honeycombing?,yes,D,D,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_14,Is there any evidence of honeycombing?,yes,B,B,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_15,Is there any evidence of honeycombing?,yes,E,E,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_16,Is there any evidence of honeycombing?,yes,D,D,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_17,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_18,Is there any evidence of honeycombing?,yes,E,E,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_19,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_20,Is there any evidence of honeycombing?,yes,A,A,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_21,Is there any evidence of honeycombing?,yes,G,G,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_22,Is there any evidence of honeycombing?,yes,B,B,True,yes
09728185-88c5-4da1-8b87-cd7572a530d2_perm_23,Is there any evidence of honeycombing?,yes,A,A,True,yes
